ID	C_1	C_2	C_3	C_4	C_5	C_6	C_7	C_8	C_9	C_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	HCC_1	HCC_2	HCC_3	HCC_4	HCC_5	HCC_6	HCC_7	HCC_8	HCC_9	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HCC_16	HCC_17	HCC_18	HCC_19
Q9UJ68	100832.0193	56606.85451	56228.84989	51280.72095	109974.8873	109827.6151	61608.51047	66917.8896	108742.988	41170.60666	47140.92174	68199.10348	50190.80576	48950.22158	62121.44125	50254.55961	56079.29378	57071.14542	46157.0252	7540.893356	22675.23967	8326.763741	13083.62847	7781.508373	18213.80215	12449.55626	30202.55948	17688.07814	14332.68081	5915.209944	16464.2093	4164.551419	27949.88455	16014.90898	11600.33516	7601.898378	12493.95671	19583.61161
Q07955	93996.92357	84716.75575	61234.81813	91859.88157	48886.82472	110272.3915	110287.3737	81292.60111	75710.92992	90643.17665	87026.49809	99061.17746	63940.52583	92920.96935	81000.61687	56919.18005	60517.80729	90870.709	86275.75174	226688.4158	148465.7259	270212.3186	202061.3628	121383.4791	116312.9285	251838.3821	201427.6032	222517.6077	326025.0823	308041.8644	242827.2286	120552.7122	137858.6468	190764.8107	183697.3921	198184.8169	163196.7902	211703.625
Q14657	6431.310434	3506.368031	2140.926671	3506.101611	4587.100418	4599.203363	3952.85844	5438.531619	5768.808732	6364.33726	3695.410269	3801.113866	3905.912856	4796.09272	3879.714817	5386.1707	4055.342199	4588.966354	4846.691963	10664.26304	10015.84445	5194.987064	7572.633649	12032.08556	8885.75144	5934.116492	9423.135737	12000.38139	6507.067812	10609.81137	8357.685143	7231.494792	9848.111636	8976.42508	7303.997943	6655.246175	10743.99792	8006.193636
P84103	80058.02278	66780.58805	63352.35847	93033.20982	40069.04917	67999.75178	66970.91614	55653.55659	51862.2401	67942.7417	67188.78986	52494.99936	40324.1096	48600.68624	49895.43689	42157.1585	56816.0892	82035.53091	69580.92039	222570.7627	104992.8052	249396.5018	141314.5899	115930.4136	107214.3059	165343.456	130286.7561	138169.3538	438871.8553	200948.2413	158604.0558	87843.05638	99100.29863	148958.8235	151528.215	140526.8284	125464.0758	133778.2005
P16219	1331780.428	1182460.475	1133041.174	459913.9889	1855951.858	1571948.068	1001944.921	1590611.682	1510312.266	1250516.05	921497.2471	1316839.562	898668.6852	750462.3845	459675.871	503534.3547	1170432.556	1322403.68	1110854.287	270820.8359	380154.8618	193507.3205	283276.9929	569146.5804	481561.6617	388958.0794	216009.2659	286819.9255	147286.407	262352.4323	243834.226	342991.9251	296053.4393	163161.8314	517263.7042	405466.5961	458542.1694	215142.3217
P30039	1038136.293	1165260.356	1664620.157	710727.6279	1479270.872	1587682.769	1136324.113	1472483.206	1557744.417	1308273.619	1213245.377	1277562.781	991913.2583	709818.4317	1165816.783	1608645.996	840283.8686	825511.7041	852337.8064	104816.767	498532.3165	195466.6063	297625.8674	376135.4253	410526.0424	293426.2002	606299.4174	472391.8716	197372.5649	209292.5338	187986.2348	676125.7421	429422.8944	141363.8548	536832.2268	183109.919	399242.7144	151272.9561
P53396	54074.94895	65081.58378	51907.73254	118511.8252	42472.11746	41050.61954	49816.98395	48759.65759	52598.0799	90950.07006	76343.49949	94495.95111	56083.43228	114131.9858	65196.75493	77387.93306	68525.6908	67466.11615	88097.83172	171277.5192	93741.4726	241310.414	129461.7172	329279.8275	85009.46387	139391.1162	136735.9794	148294.5304	235916.4182	177125.1819	258610.6192	169358.9212	172177.8905	186743.3464	293904.4418	210533.4468	233486.8664	293643.4292
Q15029	20790.52108	42367.68976	30978.61146	37942.49607	20868.2777	23386.56526	32850.7993	22009.49797	18928.22038	42943.79934	45845.64272	35971.28753	38818.36223	50431.10811	39086.94415	27997.02122	29796.59044	38744.6725	38224.72739	108779.7406	44662.21785	187887.0607	85772.59546	67435.17113	51937.3945	136559.916	68011.71402	99775.85387	167904.3171	181588.28	102205.2246	76900.26275	69870.80011	82297.01498	126861.2204	80627.77548	80701.36415	110931.3929
Q9NX24	4688.056806	5587.236946	2981.090211	3593.108078	5443.13726	1298.473304	3457.392161	4446.067656	3730.754431	1656.243152	4240.877046	3839.092529	3529.511272	2865.013452	2932.246447	5005.451932	2508.133565	4520.980982	3680.881668	16604.33459	16258.87743	3697.890058	12564.64638	42140.28166	7357.707819	9042.874295	13917.68586	12034.81907	9247.437666	4977.281873	16054.05937	9686.384291	6596.10497	11418.9288	16372.00392	8757.596017	6516.056027	10523.88452
O00757	253927.6372	304773.9817	512655.4737	617737.1077	579109.6424	228433.5645	262390.479	240044.7666	533144.287	152730.6856	177845.9364	277521.0349	100317.5603	132806.8766	262450.884	363140.6118	189859.4237	311663.8813	256638.5304	59780.69752	22827.88272	54729.62212	37461.38844	88882.79547	77238.86998	17645.87866	74896.7456	97367.14893	26226.8128	32828.4143	184843.8966	14515.8931	142996.2686	40863.84778	35895.05572	64609.57108	69477.61024	50778.48228
Q15020	3351.567017	7854.802555	6497.471605	6363.476766	3312.772865	3028.729905	3780.428163	6807.627028	3010.274569	6687.763288	5925.62508	6024.71835	4962.804039	11790.1009	4688.179845	4216.477101	7477.191601	6543.656008	6590.58153	36011.87709	8932.887606	61067.87766	22022.62316	16237.50013	11348.1377	23981.61192	15745.56219	14598.51455	51089.87481	39773.59826	21057.6964	9502.715043	15936.30605	19054.505	34077.66077	18032.29018	22596.13755	34091.09439
P13010	267362.6728	321966.1303	280129.3183	303737.9307	279544.9705	278034.835	384164.5627	333159.8505	270949.3461	428742.5252	429392.8232	369439.3185	354405.7185	535737.2222	338114.8083	330982.5914	354182.2151	340032.224	352798.2167	767490.0651	397293.5412	1040815.807	610091.9547	571534.0078	404923.3288	956620.9263	428019.965	699357.2736	1436440.871	1147504.059	1042899.109	673186.0075	595803.9591	736072.7476	934139.5207	678807.3365	777560.2604	597049.521
Q16543	75929.25173	60655.36838	66991.30918	96300.76248	66228.85408	61830.6555	64361.64798	58958.38224	62337.01093	66565.93191	70177.62955	60854.17577	58831.89796	69764.39236	58081.19138	55140.61518	41177.18252	64385.76222	53136.41863	161489.2362	75066.87339	136805.5545	96380.51839	103920.0093	90417.83231	113481.7705	116810.7946	103162.4444	110284.7915	154502.5962	131435.4361	95397.55796	89677.17353	123192.1279	91125.7436	105375.3113	86601.28192	131862.1098
P09467	3807691.183	3814534.4	3932490.408	7034308.964	5249351.468	3327681.457	3375588.864	3964319.707	9478604.185	2617756.187	2307203.907	4661084.912	2594401.716	2348363.295	3642195.516	5486291.743	2759418.097	4396106.706	3242445.785	547303.8699	361002.741	903280.3236	658615.6454	1821399.166	854204.8231	155076.8227	1229740.92	1412042.073	620920.6171	471704.964	2682841.653	222775.5136	2301746.729	394220.763	304789.572	782308.1654	875409.1265	181980.2286
O95954	2183858.382	2811147.119	3642805.447	2233411.026	3467155.468	2796588.8	2496738.42	2548704.157	3666955.849	3287830.112	2763181.957	4348243.673	2242968.894	2122314.257	3748675.685	3870471.668	2368090.129	2110199.356	2010517.183	530214.1906	472673.442	603451.6412	1270164.57	1780975.987	762686.3739	296760.9872	1525764.558	884715.7176	319809.9023	245166.8303	464932.4925	341534.6212	1725800.5	581999.2334	202818.5955	496034.2025	663915.2825	259212.7853
O43776	44950.49398	61231.32195	49087.22896	73290.81807	35181.95995	34269.85643	50583.96754	38853.73547	45676.09787	62040.99622	51876.7739	64459.1859	54283.84351	87304.14751	69801.75766	41048.33144	57705.1845	58916.8135	68623.8405	268655.9518	131529.3292	179604.1688	152541.4767	54557.4496	171758.3846	247773.2217	182652.1757	136169.9003	356429.3187	219539.5368	233908.101	153583.684	100589.5758	173316.9532	259110.2924	108216.3455	78722.80073	421396.9022
Q6IB77	1097205.744	782639.8916	989623.996	584218.7128	1296443.612	1061012.599	1230730.406	854752.1076	929022.569	753595.6752	556947.1876	987121.6439	833993.82	527744.4813	839237.6241	1134182.38	689776.8264	996328.4181	761237.3413	187149.4945	1043952.888	102203.7954	226467.1028	536746.4285	204693.5996	259865.6401	338227.7228	250041.7209	174605.3909	170827.7925	239835.4158	283352.5552	426181.1724	193603.0446	504553.1217	154500.7619	289309.5831	173883.6236
P07942	3898.349654	8378.869169	2168.219339	6665.604311	6087.050992	4917.348509	5446.297797	3163.652294	6401.496476	6423.121041	5660.924459	6473.137911	5603.602601	11529.14247	3475.112563	5787.07194	8202.190026	5136.507987	7508.07879	76970.52529	39366.12496	80971.98297	15115.24636	26461.14686	76241.33918	18746.74889	24278.62548	12887.40969	230046.5159	14598.61464	58483.99767	79507.72852	25920.68041	15461.79275	40438.66618	82668.00872	17672.07458	112908.4198
Q7Z6Z7	11352.99203	19656.09355	25784.52499	22120.61443	8820.396792	13040.35326	19734.25102	19255.21708	7886.884388	24789.33354	25321.50385	22378.56754	13831.39864	21407.14152	18255.1332	12519.9762	13470.07838	16908.63357	18294.76228	31439.90941	20534.76355	53688.99466	37966.12431	26586.81309	32535.05553	75425.10748	47743.66857	36094.69173	49733.15851	74791.10219	51759.67736	25169.08583	28322.50154	38619.14972	36610.03499	26086.74453	24029.20208	85352.55002
P98160	77053.18816	178491.4993	120099.48	202352.9018	44142.07835	41546.29788	187178.3255	39088.48333	29106.80587	75050.78859	137816.3328	82061.08577	60672.85527	136631.6	58631.3126	77938.62901	132074.8488	169941.0972	109468.204	424164.3256	333656.9994	820043.7286	381084.8745	547289.914	404278.14	231276.1512	229772.7697	212121.5522	995113.9118	258196.4064	268247.7202	314433.0904	227520.209	307437.4967	435210.4287	789994.8409	507384.0004	476056.6997
